SIZE-3year,GR-PROFIT-MARGIN-3year,CAPITAL-EMPLOYED-TURNOVER-3year,STOCKHOLDERS-EQUITY-TURNOVER-3year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-3year,DEBT/EQUITY-3year,EQUITY/CAPITAL-EMPLOYED-3year,WORKING-CAPITAL/TOTAL-ASSETS-3year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-3year,AV-PAYMENT-PERIOD-3year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-3year,SCALED-CHANGE-ASSETS-2year,SIZE-2year,CH.NET-INCOME-2year,GR-PROFIT-MARGIN-2year,CAPITAL-EMPLOYED-TURNOVER-2year,STOCKHOLDERS-EQUITY-TURNOVER-2year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-2year,DEBT/EQUITY-2year,EQUITY/CAPITAL-EMPLOYED-2year,WORKING-CAPITAL/TOTAL-ASSETS-2year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-2year,AV-PAYMENT-PERIOD-2year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-2year,final
16.07431,26.99,2,2.01,15.89,0.26,1,0.745644,105,52,96,0.021181,16.116678,-0.49823,28.63,1.51,1.52,17.25,0.22,1,0.777101,118,58,138,Non-Bankrupted
13.165808,95.11,0.66,0.66,3.42,0.06,1,0.668325,205,392,3690,0.119582,13.406122,-0.051584,95.27,0.46,0.46,4.23,0.06,1,0.721325,231,141,5130,Non-Bankrupted
14.712905,36.71,7.34,7.4,4.45,4.89,0.99,0.13248,228,164,61,0.055782,14.824585,-0.033386,43.87,6.06,6.06,4.55,4.52,1,0.141083,247,68,120,Non-Bankrupted
15.126446,40.15,17.06,17.06,0.76,6.04,1,-0.121305,81,168,184.373027,0.30024,15.746013,-0.608644,24.85,33.39,33.39,0.95,13.14,1,-0.047149,115,140,288.081482,Non-Bankrupted
16.762412,100,0,0,101.31,0,1,0.448368,85,5446.683763,184.373027,0.056025,16.874579,-0.975844,0,0,0,143.16,0,1,0.215509,0,577.874907,288.081482,Non-Bankrupted
14.330901,22.21,9.35,9.35,0.49,6.86,1,-0.188736,89,104,130,0.146439,14.625901,-0.457055,24.68,11.43,13.09,0.25,13.47,0.87,-0.305498,88,135,128,Non-Bankrupted
11.415599,53.53,17.4,17.4,7.02,2.26,1,0.264533,7,34,8,0.103237,11.622811,0.496601,59.34,9.2,9.2,5.19,0.96,1,0.412131,13,37,15,Non-Bankrupted
15.753237,33.7,5.31,5.39,0.73,2.83,0.98,-0.134669,58,62,92,0.204902,16.168926,0.456087,33.15,2.93,3.06,1.21,1.92,0.96,0.035737,100,43,169,Non-Bankrupted
14.476195,36.06,0.21,0.24,1.08,0.26,0.87,0.065595,225,32,184.373027,0.00624,14.488675,0.004797,26.22,0.39,0.44,2.36,0.22,0.9,0.468774,505,8,288.081482,Non-Bankrupted
16.429839,58.7,0.64,0.64,1.05,0.54,1,0.027969,319,551,31,0.379327,17.228386,-1,73.17,0.39,0.39,0.84,0.5,1,-0.126415,272,1140,41,Non-Bankrupted
